service_date,from_stop_id,to_stop_id,route_id,direction_id,start_time_sec,end_time_sec,travel_time_sec
2022-10-20,70048,70056,Blue,1,64565,64981,416
2022-03-24,70055,70043,Blue,0,67110,67780,670
2022-01-06,70046,70050,Blue,1,77454,77621,167
2022-06-12,70046,70048,Blue,1,85011,85087,76
2022-07-07,70042,70048,Blue,1,38036,38393,357
2022-11-28,70053,70041,Blue,0,66336,66990,654
2022-11-25,70053,70047,Blue,0,53372,53668,296
2022-10-21,70052,70058,Blue,1,35605,35843,238
2022-10-12,70051,70047,Blue,0,41054,41355,301
2022-07-25,70042,70058,Blue,1,54154,55065,911
2022-02-27,70040,70042,Blue,1,74834,74867,33
2022-06-24,70045,70838,Blue,0,72664,73030,366
2022-08-14,70058,70060,Blue,1,73712,73786,74
2022-08-10,70051,70047,Blue,0,46743,46954,211
2022-01-14,70055,70049,Blue,0,34336,34763,427
2022-12-18,70059,70045,Blue,0,68429,69180,751
2022-01-12,70053,70051,Blue,0,57763,57819,56
2022-09-26,70057,70051,Blue,0,34294,34584,290
2022-10-22,70051,70045,Blue,0,68535,68889,354
2022-10-28,70041,70838,Blue,0,60282,60400,118
2022-08-24,70044,70046,Blue,1,64243,64346,103
2022-10-20,70055,70039,Blue,0,51153,52038,885
2022-10-16,70045,70041,Blue,0,83719,83888,169
2022-01-03,70046,70050,Blue,1,56876,57062,186
2022-01-11,70048,70054,Blue,1,79612,79974,362
2022-08-25,70059,70049,Blue,0,28461,28966,505
2022-09-06,70044,70048,Blue,1,74147,74377,230
2022-08-03,70044,70048,Blue,1,78124,78362,238
2022-03-10,70039,70838,Blue,0,62463,62536,73
2022-11-03,70044,70048,Blue,1,24317,24556,239
2022-06-18,70051,70043,Blue,0,86960,87435,475
2022-07-29,70044,70050,Blue,1,35109,35457,348
2022-12-04,70051,70838,Blue,0,72015,72799,784
2022-12-20,70038,70044,Blue,1,34907,35078,171
2022-03-20,70055,70039,Blue,0,73500,74408,908
2022-11-25,70039,70838,Blue,0,64990,65024,34
2022-11-27,70053,70039,Blue,0,22480,23204,724
2022-02-08,70055,70039,Blue,0,63085,63941,856
2022-08-29,70048,70060,Blue,1,86358,87008,650
2022-08-21,70047,70045,Blue,0,49107,49218,111
2022-02-26,70039,70838,Blue,0,43774,43809,35
2022-06-22,70052,70060,Blue,1,43630,43995,365
2022-06-25,70040,70052,Blue,1,61750,62292,542
2022-09-21,70057,70043,Blue,0,35558,36441,883
2022-07-21,70043,70039,Blue,0,68051,68149,98
2022-08-03,70051,70838,Blue,0,35401,36221,820
2022-04-27,70055,70047,Blue,0,65852,66232,380
2022-03-31,70045,70041,Blue,0,30545,30717,172
2022-08-15,70038,70050,Blue,1,43656,44272,616
2022-08-18,70059,70838,Blue,0,68276,69361,1085
2022-05-20,70059,70039,Blue,0,54795,55918,1123
2022-12-16,70046,70048,Blue,1,70413,70492,79
2022-08-18,70045,70039,Blue,0,77434,77678,244
2022-08-09,70041,70039,Blue,0,34523,34556,33
2022-03-06,70055,70039,Blue,0,52393,53230,837
2022-11-08,70048,70050,Blue,1,27368,27424,56
2022-01-15,70042,70044,Blue,1,53558,53587,29
2022-09-25,70042,70050,Blue,1,35636,36087,451
2022-09-29,70038,70058,Blue,1,42604,43674,1070
2022-08-07,70051,70045,Blue,0,43152,43495,343
2022-01-27,70048,70056,Blue,1,37822,38314,492
2022-03-25,70046,70054,Blue,1,23992,24428,436
2022-10-21,70059,70057,Blue,0,63502,63537,35
2022-09-27,70042,70046,Blue,1,56706,56896,190
2022-03-31,70050,70056,Blue,1,58379,58680,301
2022-07-14,70053,70039,Blue,0,30405,31287,882
2022-06-11,70057,70047,Blue,0,66032,66491,459
2022-10-19,70055,70053,Blue,0,40766,40812,46
2022-04-18,70040,70054,Blue,1,31208,31939,731
2022-10-17,70042,70046,Blue,1,44128,44301,173
2022-01-17,70050,70054,Blue,1,54096,54318,222
2022-06-17,70057,70039,Blue,0,42792,43925,1133
2022-08-25,70049,70043,Blue,0,37301,37707,406
2022-06-14,70038,70040,Blue,1,36730,36751,21
2022-11-26,70046,70050,Blue,1,68914,69095,181
2022-07-03,70042,70052,Blue,1,81824,82444,620
2022-11-09,70051,70047,Blue,0,51433,51639,206
2022-03-27,70051,70041,Blue,0,25120,25709,589
2022-09-18,70055,70049,Blue,0,86594,86867,273
2022-11-03,70055,70047,Blue,0,23969,24353,384
2022-11-25,70040,70048,Blue,1,66466,66854,388
2022-12-17,70042,70052,Blue,1,61156,61737,581
2022-03-03,70057,70047,Blue,0,57284,57795,511
2022-05-15,70059,70057,Blue,0,25812,25847,35
2022-09-17,70049,70047,Blue,0,67001,67086,85
2022-09-27,70048,70052,Blue,1,82627,82840,213
2022-10-05,70045,70041,Blue,0,42907,43086,179
2022-04-08,70050,70054,Blue,1,61963,62181,218
2022-04-16,70053,70049,Blue,0,40834,41055,221
2022-10-07,70049,70041,Blue,0,28984,29444,460
2022-09-07,70056,70058,Blue,1,79749,79820,71
2022-02-23,70052,70054,Blue,1,29308,29372,64
2022-01-22,70044,70056,Blue,1,67939,68645,706
2022-12-21,70039,70838,Blue,0,54786,54819,33
2022-09-25,70054,70056,Blue,1,24572,24618,46
2022-04-07,70038,70040,Blue,1,29952,29968,16
2022-01-19,70059,70838,Blue,0,57193,58218,1025
2022-03-26,70040,70050,Blue,1,42136,42638,502
2022-12-30,70049,70047,Blue,0,20245,20300,55
2022-12-25,70049,70039,Blue,0,30554,31071,517
2022-04-16,70059,70055,Blue,0,77231,77371,140
2022-06-23,70044,70046,Blue,1,89336,89463,127
2022-07-08,70048,70054,Blue,1,33731,34057,326
2022-01-17,70051,70045,Blue,0,64713,65071,358
2022-01-31,70055,70838,Blue,0,21061,22251,1190
2022-01-21,70054,70060,Blue,1,74321,74570,249
2022-10-22,70055,70051,Blue,0,56421,56559,138
2022-03-11,70042,70048,Blue,1,80488,80805,317
2022-01-09,70057,70053,Blue,0,67411,67580,169
2022-09-07,70047,70041,Blue,0,32834,33165,331
2022-01-02,70059,70045,Blue,0,85518,86273,755
2022-02-17,70042,70048,Blue,1,78836,79169,333
2022-05-20,70055,70045,Blue,0,60065,60609,544
2022-07-11,70052,70056,Blue,1,56901,57055,154
2022-01-03,70057,70051,Blue,0,24044,24330,286
2022-09-25,70040,70060,Blue,1,88266,89267,1001
2022-11-28,70053,70838,Blue,0,29879,30844,965
2022-07-13,70051,70838,Blue,0,61258,62038,780
2022-12-02,70048,70060,Blue,1,85476,86123,647
2022-03-01,70057,70045,Blue,0,24328,24917,589
2022-07-12,70051,70039,Blue,0,33600,34343,743
2022-11-15,70042,70044,Blue,1,22070,22102,32
2022-02-03,70043,70041,Blue,0,81522,81555,33
2022-05-06,70052,70060,Blue,1,63886,64238,352
2022-01-27,70049,70838,Blue,0,48680,49296,616
2022-09-05,70051,70838,Blue,0,83382,84109,727
2022-02-02,70046,70054,Blue,1,23415,23851,436
2022-02-04,70053,70049,Blue,0,55305,55507,202
2022-07-15,70053,70049,Blue,0,57092,57277,185
2022-02-24,70053,70049,Blue,0,32632,32846,214
2022-12-09,70059,70053,Blue,0,22585,22841,256
2022-02-23,70057,70043,Blue,0,65966,66839,873
2022-10-04,70056,70060,Blue,1,79423,79599,176
2022-03-02,70038,70060,Blue,1,30853,32041,1188
2022-08-09,70057,70055,Blue,0,35974,36043,69
2022-07-05,70042,70060,Blue,1,33780,34825,1045
2022-01-14,70045,70838,Blue,0,78512,78835,323
2022-12-19,70043,70039,Blue,0,60573,60678,105
2022-01-09,70044,70056,Blue,1,35708,36376,668
2022-11-22,70059,70053,Blue,0,25833,26093,260
2022-10-19,70042,70046,Blue,1,62356,62558,202
2022-07-02,70046,70048,Blue,1,71691,71777,86
2022-05-28,70047,70039,Blue,0,67083,67491,408
2022-05-18,70042,70056,Blue,1,74290,75171,881
2022-09-23,70045,70838,Blue,0,31952,32347,395
2022-10-04,70044,70050,Blue,1,56947,57309,362
2022-10-22,70053,70049,Blue,0,27369,27578,209
2022-08-01,70054,70060,Blue,1,66715,66973,258
2022-06-10,70039,70838,Blue,0,34182,34215,33
2022-03-09,70046,70050,Blue,1,61730,61903,173
2022-07-02,70051,70043,Blue,0,36659,37157,498
2022-03-11,70038,70052,Blue,1,88390,89228,838
2022-04-18,70059,70051,Blue,0,34165,34493,328
2022-03-29,70054,70060,Blue,1,34092,34354,262
2022-12-26,70059,70039,Blue,0,31642,32639,997
2022-02-21,70038,70058,Blue,1,55608,56696,1088
2022-01-28,70041,70039,Blue,0,81137,81172,35
2022-10-30,70044,70056,Blue,1,61544,62208,664
2022-08-02,70049,70045,Blue,0,64046,64252,206
2022-10-14,70047,70838,Blue,0,34490,34967,477
2022-12-07,70038,70056,Blue,1,67393,68204,811
2022-12-22,70049,70039,Blue,0,32689,33157,468
2022-08-22,70059,70039,Blue,0,42135,43265,1130
2022-01-11,70046,70056,Blue,1,63889,64397,508
2022-03-24,70042,70046,Blue,1,43226,43398,172
2022-05-04,70059,70053,Blue,0,36323,36565,242
2022-01-10,70038,70040,Blue,1,37706,37723,17
2022-07-18,70059,70041,Blue,0,55093,56030,937
2022-12-26,70051,70041,Blue,0,77412,77960,548
2022-03-04,70040,70056,Blue,1,89231,90092,861
2022-07-16,70047,70041,Blue,0,60108,60439,331
2022-10-17,70044,70048,Blue,1,55193,55425,232
2022-07-23,70049,70039,Blue,0,25944,26481,537
2022-04-26,70052,70054,Blue,1,83267,83311,44
2022-01-29,70043,70838,Blue,0,49604,49842,238
2022-11-28,70042,70050,Blue,1,32957,33384,427
2022-09-07,70055,70051,Blue,0,47580,47807,227
2022-02-01,70042,70044,Blue,1,51524,51556,32
2022-02-23,70057,70043,Blue,0,59894,60645,751
2022-06-27,70046,70050,Blue,1,44522,44739,217
2022-06-29,70050,70054,Blue,1,29160,29361,201
2022-09-09,70043,70838,Blue,0,58091,58310,219
2022-06-12,70047,70041,Blue,0,59325,59700,375
2022-10-24,70038,70052,Blue,1,68177,68887,710
2022-11-25,70053,70047,Blue,0,37709,37993,284
2022-02-14,70040,70054,Blue,1,86117,86868,751
2022-06-19,70055,70039,Blue,0,21820,22753,933
2022-04-13,70051,70049,Blue,0,80388,80489,101
2022-09-06,70051,70043,Blue,0,24678,25194,516
2022-03-21,70050,70054,Blue,1,83154,83490,336
2022-12-29,70059,70055,Blue,0,45493,45640,147
2022-11-01,70048,70052,Blue,1,39336,39556,220
2022-11-30,70048,70050,Blue,1,35363,35421,58
2022-01-11,70051,70045,Blue,0,87270,87649,379
2022-08-04,70044,70046,Blue,1,56912,57045,133
2022-08-06,70053,70041,Blue,0,48423,49142,719
2022-06-10,70038,70060,Blue,1,56014,57554,1540
2022-06-25,70042,70056,Blue,1,21154,21944,790
2022-02-02,70040,70056,Blue,1,69978,70954,976
2022-07-30,70057,70041,Blue,0,70365,71248,883
2022-10-21,70053,70041,Blue,0,23280,24011,731
2022-11-01,70044,70060,Blue,1,36610,37546,936
2022-08-27,70055,70838,Blue,0,52098,53283,1185
2022-02-25,70050,70060,Blue,1,73563,74086,523
2022-06-22,70038,70060,Blue,1,57175,58413,1238
2022-04-01,70051,70049,Blue,0,24958,25064,106
2022-06-18,70050,70060,Blue,1,69949,70485,536
2022-07-11,70053,70051,Blue,0,27049,27114,65
2022-05-10,70057,70055,Blue,0,20134,20203,69
2022-03-31,70055,70047,Blue,0,87193,87547,354
2022-11-22,70042,70046,Blue,1,65575,65748,173
2022-10-05,70055,70051,Blue,0,71442,71577,135
2022-06-16,70046,70058,Blue,1,75971,76603,632
2022-03-17,70055,70041,Blue,0,32840,33576,736
2022-04-18,70042,70056,Blue,1,62415,63183,768
2022-09-11,70040,70054,Blue,1,55957,56704,747
2022-08-22,70038,70048,Blue,1,28685,29147,462
2022-02-14,70051,70049,Blue,0,31221,31328,107
2022-01-06,70038,70054,Blue,1,82647,83467,820
2022-11-08,70052,70054,Blue,1,84256,84302,46
2022-11-11,70039,70838,Blue,0,79500,79532,32
2022-03-28,70050,70058,Blue,1,57507,57929,422
2022-09-23,70050,70056,Blue,1,70639,70914,275
2022-08-21,70059,70041,Blue,0,25395,26322,927
2022-07-25,70048,70060,Blue,1,37812,38462,650
2022-10-16,70052,70058,Blue,1,66333,66574,241
2022-04-21,70057,70051,Blue,0,66592,66845,253
2022-04-18,70052,70060,Blue,1,53284,53703,419
2022-07-29,70044,70046,Blue,1,26288,26395,107
2022-09-27,70042,70058,Blue,1,58433,59269,836
2022-08-02,70050,70052,Blue,1,25770,25878,108
2022-12-10,70040,70044,Blue,1,78694,78830,136
2022-10-22,70038,70052,Blue,1,28580,29289,709
