stop_id,stop_name
1,Washington St opp Ruggles St
11384,Dartmouth St @ Back Bay Sta
117,Congress St @ Haymarket Sta
1389,Boylston St @ Prudential Center
1395,Dartmouth St @ Appleton St
1396,Dartmouth St @ Tremont St
1397,Opp 43 W Dedham St
1398,W Dedham St @ Washington St
143,Boylston St @ Clarendon St
15176,Washington St @ Worcester St
16535,Otis St @ Summer St
170136,Babcock Street
170137,Babcock Street
170140,Amory Street
170141,Amory Street
17091,Terminal A
17093,Terminal B Stop 2 - Arrivals Level
17094,Terminal C - Arrivals Level
17095,Terminal E - Arrivals Level
17096,Congress St @ World Trade Center Sta
173,Saint James Ave @ Berkeley St
175,Boylston St @ Dartmouth St
176,Dartmouth St opp Back Bay Sta
177,Saint James Ave @ Arlington St
178,Saint James Ave @ Dartmouth St
188,Massachusetts Ave @ Massachusetts Ave Station
191,Congress St @ North St
19402,Washington St @ W Newton St
2,Washington St @ Melnea Cass Blvd
23391,Back Bay
27092,Terminal B Stop 1 - Arrivals Level
2829,N Washington St @ Medford St
29014,Sullivan Square
30088,Savin Hill - Dorchester Ave @ Bay St
34500,Dorchester Ave @ Lincoln St - Fields Corner Sta
34503,Dorchester Ave @ Fields Corner Station
4,Washington St @ Lenox St
4510,Cambridge St @ Government Ctr Sta
4511,Sudbury St @ Congress St - Haymarket Sta
5,Washington St @ Massachusetts Ave
55,Washington St @ Massachusetts Ave
60,Washington St @ Lenox St
62,Washington St @ Williams St
63,Washington St @ Ruggles St
64,Nubian
65,State St @ Washington Mall - State St Sta
6542,Kneeland St @ Washington St
6550,Lincoln St @ Essex St
6551,Federal St @ Franklin St
6555,Chinatown Gate
70001,Forest Hills
70002,Green Street
70003,Green Street
70004,Stony Brook
70005,Stony Brook
70006,Jackson Square
70007,Jackson Square
70008,Roxbury Crossing
70009,Roxbury Crossing
70010,Ruggles
70011,Ruggles
70012,Massachusetts Avenue
70013,Massachusetts Avenue
70014,Back Bay
70015,Back Bay
70016,Tufts Medical Center
70017,Tufts Medical Center
70018,Chinatown
70019,Chinatown
70020,Downtown Crossing
70021,Downtown Crossing
70022,State
70023,State
70024,Haymarket
70025,Haymarket
70026,North Station
70027,North Station
70028,Community College
70029,Community College
70030,Sullivan Square
70031,Sullivan Square
70032,Wellington
70033,Wellington
70034,Malden Center
70035,Malden Center
70036,Oak Grove
70038,Bowdoin
70039,Government Center
70040,Government Center
70041,State
70042,State
70043,Aquarium
70044,Aquarium
70045,Maverick
70046,Maverick
70047,Airport
70048,Airport
70049,Wood Island
70050,Wood Island
70051,Orient Heights
70052,Orient Heights
70053,Suffolk Downs
70054,Suffolk Downs
70055,Beachmont
70056,Beachmont
70057,Revere Beach
70058,Revere Beach
70059,Wonderland
70060,Wonderland
70061,Alewife
70063,Davis
70064,Davis
70065,Porter
70066,Porter
70067,Harvard
70068,Harvard
70069,Central
70070,Central
70071,Kendall/MIT
70072,Kendall/MIT
70073,Charles/MGH
70074,Charles/MGH
70075,Park Street
70076,Park Street
70077,Downtown Crossing
70078,Downtown Crossing
70079,South Station
70080,South Station
70081,Broadway
70082,Broadway
70083,Andrew
70084,Andrew
70085,JFK/UMass
70086,JFK/UMass
70087,Savin Hill
70088,Savin Hill
70089,Fields Corner
70090,Fields Corner
70091,Shawmut
70092,Shawmut
70093,Ashmont
70094,Ashmont
70095,JFK/UMass
70096,JFK/UMass
70097,North Quincy
70098,North Quincy
70099,Wollaston
70100,Wollaston
70101,Quincy Center
70102,Quincy Center
70103,Quincy Adams
70104,Quincy Adams
70105,Braintree
70106,Boston College
70107,Boston College
70110,South Street
70111,South Street
70112,Chestnut Hill Avenue
70113,Chestnut Hill Avenue
70114,Chiswick Road
70115,Chiswick Road
70116,Sutherland Road
70117,Sutherland Road
70120,Washington Street
70121,Washington Street
70124,Warren Street
70125,Warren Street
70126,Allston Street
70127,Allston Street
70128,Griggs Street
70129,Griggs Street
70130,Harvard Avenue
70131,Harvard Avenue
70134,Packard's Corner
70135,Packard's Corner
70144,Boston University Central
70145,Boston University Central
70146,Boston University East
70147,Boston University East
70148,Blandford Street
70149,Blandford Street
70150,Kenmore
70151,Kenmore
70152,Hynes Convention Center
70153,Hynes Convention Center
70154,Copley
70155,Copley
70156,Arlington
70157,Arlington
70158,Boylston
70159,Boylston
70160,Riverside
70161,Riverside
70162,Woodland
70163,Woodland
70164,Waban
70165,Waban
70166,Eliot
70167,Eliot
70168,Newton Highlands
70169,Newton Highlands
70170,Newton Centre
70171,Newton Centre
70172,Chestnut Hill
70173,Chestnut Hill
70174,Reservoir
70175,Reservoir
70176,Beaconsfield
70177,Beaconsfield
70178,Brookline Hills
70179,Brookline Hills
70180,Brookline Village
70181,Brookline Village
70182,Longwood
70183,Longwood
70186,Fenway
70187,Fenway
70196,Park Street
70197,Park Street
70198,Park Street
70199,Park Street
70200,Park Street
70201,Government Center
70202,Government Center
70203,Haymarket
70204,Haymarket
70205,North Station
70206,North Station
70207,Science Park/West End
70208,Science Park/West End
70211,Saint Mary's Street
70212,Saint Mary's Street
70213,Hawes Street
70214,Hawes Street
70215,Kent Street
70216,Kent Street
70217,Saint Paul Street
70218,Saint Paul Street
70219,Coolidge Corner
70220,Coolidge Corner
70223,Summit Avenue
70224,Summit Avenue
70225,Brandon Hall
70226,Brandon Hall
70227,Fairbanks Street
70228,Fairbanks Street
70229,Washington Square
70230,Washington Square
70231,Tappan Street
70232,Tappan Street
70233,Dean Road
70234,Dean Road
70235,Englewood Avenue
70236,Englewood Avenue
70237,Cleveland Circle
70238,Cleveland Circle
70239,Prudential
70240,Prudential
70241,Symphony
70242,Symphony
70243,Northeastern University
70244,Northeastern University
70245,Museum of Fine Arts
70246,Museum of Fine Arts
70247,Longwood Medical Area
70248,Longwood Medical Area
70249,Brigham Circle
70250,Brigham Circle
70251,Fenwood Road
70252,Fenwood Road
70253,Mission Park
70254,Mission Park
70255,Riverway
70256,Riverway
70257,Back of the Hill
70258,Back of the Hill
70260,Heath Street
70261,Ashmont
70263,Cedar Grove
70264,Cedar Grove
70265,Butler
70266,Butler
70267,Milton
70268,Milton
70269,Central Avenue
70270,Central Avenue
70271,Valley Road
70272,Valley Road
70273,Capen Street
70274,Capen Street
70275,Mattapan
70276,Mattapan
70278,Assembly
70279,Assembly
70501,Lechmere
70502,Lechmere
70503,Union Square
70504,Union Square
70505,Gilman Square
70506,Gilman Square
70507,Magoun Square
70508,Magoun Square
70509,Ball Square
70510,Ball Square
70511,Medford/Tufts
70512,Medford/Tufts
70513,East Somerville
70514,East Somerville
70838,Bowdoin
7096,Airport
7097,Airport
71150,Kenmore
71151,Kenmore
71186,JFK/UMass - Columbia Rd @ I-93
71199,Park Street
71263,Adams St @ Milton St - Cedar Grove Sta
71264,Adams St @ Milton St - Cedar Grove Sta
71265,Adams St @ Butler St - Butler Sta
71266,Adams St @ Butler St - Butler Sta
71269,Eliot St @ Central Ave - Central Ave Sta
71270,Eliot St @ Central Ave - Central Ave Sta
71271,Eliot St @ Valley Rd Sta
71272,Eliot St opp Valley Rd Sta
71273,Eliot St opp Capen Street
71274,Eliot St @ Capen Street - Capen St Sta
71855,Stuart St @ Dartmouth St
74611,South Station
74612,Courthouse
74613,World Trade Center
74614,Silver Line Way
74615,World Trade Center
74616,Courthouse
74617,South Station
74624,Silver Line Way
74630,Chelsea
74631,Chelsea
74632,Bellingham Square
74633,Bellingham Square
74634,Box District
74635,Box District
74636,Eastern Avenue
74637,Eastern Avenue
76127,Harvard
87,Massachusetts Ave @ Tremont St
89,Massachusetts Ave @ St Botolph St
9070002,Green Street - Amory St @ Green St
9070003,Green Street - Amory St @ Green St
9070004,Stony Brook - Amory St @ Boylston St
9070005,Stony Brook - Boylston St @ Stony Brook
9070006,Jackson Square - Columbus Ave @ Centre St
9070007,Jackson Square - Centre St opp Jackson Square Busway
9070010,Ruggles - Tremont St @ Ruggles St
9070012,Massachusetts Avenue - Columbus Ave @ Northampton St
9070013,Massachusetts Avenue - Columbus Ave @ Massachusetts Ave
9070022,State
9070024,Haymarket - Congress St opp Hanover St
9070025,Haymarket - Congress St @ Hanover St
9070027,North Station
9070039,Government Center - Cambridge St @ Sudbury St
9070043,Aquarium - Surface Rd @ State St
9070045,Maverick
9070046,Maverick
9070047,Airport
9070049,Wood Island - Benningon St @ Wood Island Busway
9070065,Porter - Massachusetts Avenue @ Mount Vernon St
9070068,Harvard - Massachusetts Ave opp Linden St
9070070,Central - Massachusetts Ave opp Pearl St
9070071,Kendall/MIT - Main St opp Dock St
9070072,Harvard - Brattle St @ Palmer St
9070073,Charles/MGH - Cambridge St @ Lindall Pl
9070074,Charles/MGH - 325 Cambridge St
9070076,Park Street - Tremont St @ Winter St
9070079,South Station - Summer St @ Surface Rd
9070080,Downtown Crossing - Franklin St @ Washington St
9070083,Andrew - Dorchester Ave @ Dexter St
9070090,North Station - Nashua St @ Red Auerbach Way
9070091,Science Park/West End - Nashua St @ Leverett Cir
9070093,Science Park/West End - Martha Rd @ Amy Ct
9070101,Quincy Center - 1259 Hancock St
9070107,Boston College - Commonwealth Ave @ Lake St
9070110,South Street - Commonwealth Ave opp South St
9070111,South Street - Commonwealth Ave @ South St
9070112,Chestnut Hill Avenue - Commonwealth Ave @ Chestnut Hill Ave
9070113,Chestnut Hill Avenue - Commonwealth Ave @ Chestnut Hill Ave
9070114,Chiswick Road - Commonwealth Ave @ Chiswick Rd
9070115,Chiswick Road - Commonwealth Ave @ Chiswick Rd
9070116,Sutherland Road - Commonwealth Ave @ Colborne Rd
9070117,Sutherland Road - Commonwealth Ave @ Colborne Rd
9070120,Washington Street - Commonwealth Ave @ Washington St
9070121,Washington Street - Commonwealth Ave @ Washington St
9070124,Warren Street - Commonwealth Ave @ Kelton St
9070125,Warren Street - Commonwealth Ave @ Warren St
9070128,Griggs Street - Commonwealth Ave @ Griggs St
9070129,Griggs Street - Commonwealth Ave opp Griggs St
9070130,Harvard Avenue - Commonwealth Ave @ Harvard Ave
9070131,Harvard Avenue - Commonwealth Ave @ Harvard Ave
9070134,Packard's Corner
9070135,Packard's Corner
9070150,Kenmore - 512 Commonwealth Ave
9070151,Kenmore - 660 Beacon St
9070152,Hynes Convention Center - Cambria St @ Boylston St
9070154,Copley - Opp 575 Boylston St
9070155,Copley - Saint James Ave @ Trinity Pl
9070156,Arlington
9070160,Riverside
9070162,Woodland
9070164,Waban - Beacon St @ Waban
9070165,Waban - Beacon St opp Waban
9070168,Newton Highlands
9070169,Newton Highlands - Walnut St
9070170,Newton Centre - Langley Rd @ Braeland Ave
9070171,Newton Centre - Langley Rd opp Braeland Ave
9070178,Brookline Hills - Boylston St @ Cypress St
9070179,Brookline Hills - Boylston St @ Cypress St
9070180,Brookline Village - Pearl St @ Brookline Place Parking
9070184,Hynes Convention Center - Commonwealth Ave @ Massachusetts Ave
9070185,Kenmore - Commonwealth Ave @ Kenmore St
9070186,Boston University East - 610 Commonwealth Ave
9070211,Saint Mary's Street
9070212,Saint Mary's Street - Beacon St @ Saint Mary's St
9070213,Hawes Street
9070214,Hawes Street - 1089 Beacon St
9070215,Kent Street
9070216,Kent Street
9070217,Saint Paul Street
9070218,Saint Paul Street - 1253 Beacon St
9070219,Coolidge Corner
9070220,Coolidge Corner
9070223,Summit Avenue - 1428 Beacon St
9070224,Summit Avenue
9070225,Brandon Hall
9070226,Brandon Hall
9070227,Fairbanks Street
9070228,Fairbanks Street
9070229,Washington Square
9070230,Washington Square - 1601 Beacon St
9070231,Tappan Street
9070232,Tappan Street
9070233,Dean Road
9070234,Dean Road
9070235,Englewood Avenue - 1856 Beacon St
9070236,Englewood Avenue - 1855 Beacon St
9070237,Cleveland Circle
9070238,Cleveland Circle
9070501,Lechmere - Water St @ Lechmere Busway
9070502,Lechmere - Monsignor O'Brien Hwy opp Gore St
9070503,Union Square - Prospect St @ Union Sq Station
9070505,Gilman Square - Medford St opp Gilman Sq Station
9070506,Gilman Square - Medford St @ Gilman Sq Station
9070508,Magoun Square - Medford St @ Lowell St
9070509,Ball Square - Boston Ave @ Broadway
9070513,East Somerville - Joy St @ Washington St
91,Massachusetts Ave @ Clearway St
9170010,Ruggles - Columbus Ave @ St Cyprians
9170012,Massachusetts Avenue - Columbus Ave @ Newcastle Ct
9170014,Back Bay - Columbus Ave @ Dartmouth St
9170024,Haymarket - Congress St @ New Sudbury St
9170043,Aquarium - State St opp McKinley Sq
9170047,Airport
9170071,Kendall/MIT - Main St @ Hayward St
9170076,Park Street - Tremont St opp Hamilton Pl
9170084,Andrew - Dorchester Ave @ Leeds St
9170099,Wollaston - Newport Ave @ Brook St
9170100,Wollaston - Newport Ave opp Brook St
9170120,Washington Street - Commonwealth Ave @ Washington St
9170151,Kenmore - Commonwealth Ave @ Kenmore St
9170152,Hynes - Commonwealth Ave @ Massachusetts Ave
