Station Name,x,y
Alewife,164,118
Davis,188,116
Porter Square,222,121
Harvard Square,242,142
Central Square,261,161
Kendall/MIT,282,182
Charles/MGH,302,202
Park Street,316,216
Downtown Crossing,335,236
South Station,358,257
Broadway,362,284
Andrew,363,305
JFK/UMass,363,328
Savin Hill,349,343
Fields Corner,335,362
Shawmut,335,376
Ashmont,336,391
Cedar Grove,336,403
Butler,326,421
Milton,311,422
Central Avenue,296,422
Valley Road,280,421
Capen Street,263,422
Mattapan,249,422
North Quincy,410,414
Wollaston,430,433
Quincy Center,449,453
Quincy Adams,469,472
Braintree,475,515
Oak Grove,336,50
Malden Center,335,67
Wellington,335,87
Sullivan Square,335,109
Community College,335,132
North Station,333,161
Haymarket,347,179
State,354,215
Downtown Crossing,334,235
Chinatown,317,253
New England Medical Center,306,264
Back Bay,296,274
Massachusetts Avenue,286,284
Ruggles,276,294
Roxbury Crossing,266,303
Jackson Square,257,313
Stony Brook,247,324
Green Street,237,333
Forest Hills,226,343
Lechmere,304,132
Science Park,324,153
North Station,333,161
Haymarket,347,179
Government Center,335,197
Park Street,315,216
Boylston,302,232
Arlington,287,237
Copley,271,236
Hynes Convention Center,256,236
Kenmore,242,236
Blandford Street,233,227
Boston University East,228,223
Boston University Central,224,219
Boston University West,220,215
St. Paul Street (1),216,211
Pleasant Street,210,207
Babcock Street,204,205
Packards Corner,198,205
Harvard Avenue,192,205
Griggs Street/Long Avenue,186,205
Allston Street,180,205
Warren Street,161,220
Washington Street,158,224
Sutherland Street,153,227
Chiswick Road,147,228
Chestnut Hill Avenue,134,222
South Street,126,213
Boston College,120,208
St. Marys Street,219,236
Hawes Street,213,236
Kent Street,207,236
St. Paul Street (2),202,236
Coolidge Corner,196,236
Summit Avenue,190,236
Brandon Hall,184,236
Fairbanks,179,236
Washington Square,172,236
Tappan Street,168,236
Dean Road,162,236
Englewood Avenue,156,236
Cleveland Circle,148,236
Fenway,220,246
Longwood,206,258
Brookline Village,194,269
Brookline Hills,170,269
Beaconsfield,155,254
Reservoir,141,241
Chestnut Hill,127,239
Newton Center,114,240
Newton Highlands,101,239
Eliot,89,240
Waban,76,240
Woodland,63,239
Riverside,46,240
Prudential,255,263
Symphony,252,267
Northeastern University,246,273
Museum of Fine Arts,242,277
Longwood Medical Area,238,281
Brigham Circle,234,284
Fenwood Street,230,289
Mission Park,227,295
Riverway,226,301
Back of the Hill,227,306
Heath Street,226,314
Wonderland,508,63
Revere Beach,491,79
Beachmont,477,94
Suffolk Downs,462,108
Orient Heights,448,123
Wood Island,432,137
Airport,419,151
Maverick,405,167
Aquarium,373,198
State,355,216
Government Center,335,196
Bowdoin,321,182
